TIPO_DE_CALLE,COMUNA,VICTIMA,ACUSADO,año,N_VICTIMAS
AUTOPISTA,1,AUTO,AUTO,2016,1
AUTOPISTA,1,MOTO,AUTO,2021,1
AUTOPISTA,1,MOTO,CARGAS,2016,1
AUTOPISTA,1,MOTO,CARGAS,2017,1
AUTOPISTA,1,MOTO,CARGAS,2019,1
AUTOPISTA,1,MOTO,MOTO,2016,1
AUTOPISTA,1,MOTO,OBJETO FIJO,2016,2
AUTOPISTA,1,MOTO,OBJETO FIJO,2021,1
AUTOPISTA,1,MOTO,SD,2019,1
AUTOPISTA,1,PEATON,AUTO,2017,1
AUTOPISTA,1,SD,SD,2016,1
AUTOPISTA,2,AUTO,OBJETO FIJO,2021,1
AUTOPISTA,2,PEATON,CARGAS,2018,1
AUTOPISTA,3,MOTO,AUTO,2021,1
AUTOPISTA,4,MOTO,AUTO,2016,1
AUTOPISTA,4,MOTO,CARGAS,2016,1
AUTOPISTA,4,MOTO,CARGAS,2019,1
AUTOPISTA,4,MOTO,CARGAS,2021,2
AUTOPISTA,4,MOTO,MOTO,2018,1
AUTOPISTA,4,MOTO,MULTIPLE,2021,1
AUTOPISTA,4,MOTO,OBJETO FIJO,2021,1
AUTOPISTA,4,MOTO,PASAJEROS,2017,1
AUTOPISTA,4,SD,SD,2016,1
AUTOPISTA,5,AUTO,OBJETO FIJO,2021,1
AUTOPISTA,5,MOTO,CARGAS,2017,1
AUTOPISTA,7,AUTO,AUTO,2017,1
AUTOPISTA,7,AUTO,OBJETO FIJO,2017,2
AUTOPISTA,7,MOTO,OBJETO FIJO,2021,1
AUTOPISTA,7,MOTO,PASAJEROS,2020,1
AUTOPISTA,8,AUTO,AUTO,2018,1
AUTOPISTA,8,MOTO,CARGAS,2016,1
AUTOPISTA,8,MOTO,CARGAS,2018,2
AUTOPISTA,8,MOTO,MOTO,2016,1
AUTOPISTA,8,PEATON,AUTO,2016,1
AUTOPISTA,8,PEATON,AUTO,2018,1
AUTOPISTA,8,PEATON,AUTO,2021,1
AUTOPISTA,9,AUTO,AUTO,2018,2
AUTOPISTA,9,AUTO,CARGAS,2020,1
AUTOPISTA,9,AUTO,OBJETO FIJO,2016,1
AUTOPISTA,9,CARGAS,CARGAS,2018,1
AUTOPISTA,9,CARGAS,OBJETO FIJO,2016,1
