N_VICTIMAS,TIPO_DE_CALLE,Dirección Normalizada,COMUNA,pos x,pos y,VICTIMA,ACUSADO,fecha_hora
1,AVENIDA,"PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.4753,-34.6876,MOTO,AUTO,2016-01-01 04:00:00
1,GRAL PAZ,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.5088,-34.6698,AUTO,PASAJEROS,2016-01-02 01:15:00
1,AVENIDA,ENTRE RIOS AV. 2034,1,-58.3904,-34.6319,MOTO,AUTO,2016-01-03 07:00:00
1,AVENIDA,"LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",8,-58.465,-34.6809,MOTO,SD,2016-01-10 00:00:00
1,AVENIDA,"SAN JUAN AV. y SAENZ PEÃ‘A, LUIS, PRES.",1,-58.3872,-34.6225,MOTO,PASAJEROS,2016-01-21 05:20:00
1,AVENIDA,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.4445,-34.6848,MOTO,OBJETO FIJO,2016-01-24 18:30:00
1,CALLE,"NOGOYA y GONZALEZ, JOAQUIN V.",11,-58.501,-34.6083,MOTO,AUTO,2016-01-24 19:10:00
1,GRAL PAZ,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.5088,-34.6698,MOTO,AUTO,2016-01-29 15:20:00
1,AVENIDA,"BELGRANO AV. e IRIGOYEN, BERNARDO DE",1,-58.3805,-34.613,MOTO,CARGAS,2016-02-08 01:20:00
1,AVENIDA,ENTRE RIOS AV. 1366,1,-58.3911,-34.6248,PEATON,AUTO,2016-02-10 11:30:00
1,AVENIDA,"SCALABRINI ORTIZ, RAUL AV. y VERA",15,-58.4376,-34.5991,PEATON,AUTO,2016-02-14 05:14:00
1,AVENIDA,"REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",4,-58.3688,-34.6429,MOTO,AUTO,2016-02-14 22:00:00
1,AVENIDA,"ACOSTA, MARIANO y JANER, ANA MARIA",8,-58.4499,-34.6597,PEATON,MOTO,2016-02-15 16:54:00
1,CALLE,"DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO",9,-58.5099,-34.6547,PEATON,PASAJEROS,2016-02-17 09:30:00
1,CALLE,SUIPACHA 156,1,-58.3795,-34.6065,PEATON,AUTO,2016-02-17 16:00:00
1,AVENIDA,DIRECTORIO AV. y CURAPALIGUE,7,-58.4516,-34.6306,AUTO,AUTO,2016-02-17 23:35:00
1,AVENIDA,"9 DE JULIO AV. y ALSINA, ADOLFO",1,-58.3814,-34.6108,MOTO,AUTO,2016-02-21 06:00:00
1,GRAL PAZ,"PAZ, GRAL. AV. y 27 DE FEBRERO AV.",8,-58.4624,-34.7052,AUTO,AUTO,2016-02-28 04:50:00
1,CALLE,HOLMBERG y VEDIA,12,-58.4922,-34.5474,AUTO,OBJETO FIJO,2016-02-28 07:30:00
1,AVENIDA,"CURAPALIGUE AV. y DIAZ, AVELINO",7,-58.445,-34.6385,AUTO,AUTO,2016-02-28 09:35:00
1,AVENIDA,VIAMONTE y 9 DE JULIO AV.,1,-58.382,-34.6003,PEATON,CARGAS,2016-03-02 10:00:00
1,AVENIDA,CABILDO AV. y DEHEZA,12,-58.4738,-34.5415,PEATON,PASAJEROS,2016-03-04 17:30:00
1,GRAL PAZ,"PAZ, GRAL. AV. y ROCA, CNEL. AV.",8,-58.4706,-34.6984,MOTO,PASAJEROS,2016-03-08 12:30:00
1,AVENIDA,"ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,-58.4062,-34.6508,PEATON,PASAJEROS,2016-03-12 12:30:00
1,AVENIDA,CORRIENTES AV. y CALLAO AV.,3,-58.3923,-34.6044,MOTO,PASAJEROS,2016-03-13 06:00:00
1,CALLE,"HERRERA y VALLE, ARISTOBULO DEL",4,-58.3781,-34.6367,MOTO,PASAJEROS,2016-03-14 00:15:00
1,AVENIDA,LAFUENTE AV. y QUIRNO,7,-58.4628,-34.6436,MOTO,MOTO,2016-03-19 11:00:00
1,GRAL PAZ,"PAZ, GRAL. AV. y ZUVIRIA",8,-58.4968,-34.6789,PEATON,PASAJEROS,2016-03-21 08:06:00
1,AVENIDA,"MITRE, BARTOLOME y PUEYRREDON AV.",3,-58.406,-34.6088,MOTO,PASAJEROS,2016-03-23 01:50:00
2,AVENIDA,DIRECTORIO AV. y RIVERA INDARTE AV.,7,-58.4608,-34.6335,MOTO,CARGAS,2016-03-29 11:00:00
1,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL. y MURGUIONDO",8,-58.4783,-34.6749,PEATON,CARGAS,2016-03-30 18:15:00
1,AVENIDA,"MORENO, JOSE MARIA AV. y BALBASTRO",7,-58.4321,-34.6369,MOTO,MULTIPLE,2016-03-31 19:40:00
1,GRAL PAZ,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13,-58.4674,-34.5348,MOTO,SD,2016-04-11 10:25:00
1,CALLE,LIMA 1483,1,-58.3825,-34.6257,PEATON,PASAJEROS,2016-04-15 05:30:00
1,AVENIDA,CORRIENTES AV. y DORREGO AV.,15,-58.4476,-34.5917,PEATON,PASAJEROS,2016-04-15 17:40:00
1,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,-58.3771,-34.6366,SD,SD,2016-04-17 00:00:00
1,AVENIDA,"GORDILLO, TIMOTEO y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.4731,-34.6855,PEATON,PASAJEROS,2016-04-19 09:50:00
1,AVENIDA,"ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,-58.4062,-34.6508,MOTO,CARGAS,2016-04-20 04:00:00
1,AUTOPISTA,,13,-58.3771,-34.6366,MOTO,SD,2016-04-20 20:00:00
1,AVENIDA,TRIUNVIRATO AV. y OLAZABAL AV.,12,-58.4843,-34.5756,PEATON,PASAJEROS,2016-04-22 09:30:00
1,AUTOPISTA,"AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y PAZ, GRAL. AV.",8,-58.487,-34.688,MOTO,MOTO,2016-04-23 21:00:00
1,AVENIDA,"CASTILLA, RAMON, MARISCAL y FIGUEROA ALCORTA, PRES. AV.",14,-58.4002,-34.5796,PEATON,CARGAS,2016-04-25 20:30:00
1,AVENIDA,"CAMPOS, LUIS M. AV. 30",14,-58.4296,-34.5766,MOTO,OBJETO FIJO,2016-04-26 04:45:00
1,CALLE,LIMA 1471,1,-58.3825,-34.6256,PEATON,MOTO,2016-05-04 14:00:00
1,CALLE,CIUDADELA y LIMA,1,-58.3822,-34.6273,PEATON,PASAJEROS,2016-05-08 16:30:00
1,AVENIDA,"JUSTO, JUAN B. AV. y CARRASCO AV.",10,-58.4949,-34.6295,PEATON,PASAJEROS,2016-05-14 18:11:00
1,AVENIDA,GAONA AV. y ESPINOSA,6,-58.4523,-34.6107,PEATON,AUTO,2016-05-20 14:40:00
1,AVENIDA,"DE LA TORRE, LISANDRO y SARAZA",8,-58.4846,-34.6751,MOTO,PASAJEROS,2016-05-21 17:00:00
1,AVENIDA,"FIGUEROA ALCORTA, PRES. AV. y PUEYRREDON AV.",2,-58.3906,-34.5842,MOTO,PASAJEROS,2016-05-22 22:00:00
1,AVENIDA,ENTRE RIOS AV. y FILIBERTO,3,-58.3912,-34.627,AUTO,CARGAS,2016-05-23 03:30:00
1,CALLE,"MAGARIÃ‘OS CERVANTES, A. 3900",10,-58.4902,-34.6203,MOTO,CARGAS,2016-06-11 15:00:00
1,GRAL PAZ,"PAZ, GRAL. AV. y SCAPINO, RODOLFO",8,-58.499,-34.6773,AUTO,AUTO,2016-06-12 06:40:00
1,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y MIRALLA,8,-58.4746,-34.6687,PEATON,AUTO,2016-06-12 23:13:00
1,AVENIDA,SAN MARTIN AV. y CAMARONES,15,-58.4621,-34.6036,PEATON,PASAJEROS,2016-06-13 16:20:00
